GameMode,RoomIP,OpponentName,MyColor,WinColor,Time
Single,127.0.0.1,"",Black,Black,2025-12-31T22:05:46.118031900Z
Single,127.0.0.1,"",Black,Black,2025-12-31T22:05:55.121797800Z
Single,127.0.0.1,"",Black,"Unfinished",2026-01-02T00:59:55.707402300Z
Single,127.0.0.1,"",Black,"Unfinished",2026-01-02T01:00:38.337382700Z
Single,123123,"",Black,"Unfinished",2026-01-02T01:45:53.168351700Z
Duo,127.0.0.1,"",Black,"Unfinished",2026-01-02T21:13:19.929302600Z
Duo,127.0.0.1,"",Black,"Unfinished",2026-01-02T21:13:20.773485100Z
Single,127.0.0.1,"",Black,Black,2026-01-02T21:26:05.862452200Z
Duo,127.0.0.1,"",Black,"Unfinished",2026-01-02T21:26:44.123608Z
Duo,127.0.0.1,"",Black,"Unfinished",2026-01-02T21:26:45.652851Z
Duo,127.0.0.1,"",Black,"Unfinished",2026-01-02T21:28:50.099776400Z
Duo,127.0.0.1,"",Black,"Unfinished",2026-01-02T21:28:52.131380800Z
Duo,127.0.0.1,"Li Hua",White,White,2026-01-02T21:37:06.607206200Z
Duo,127.0.0.1,"Li Hua",Black,White,2026-01-02T21:37:09.789693300Z
Duo,127.0.0.1,"Li Hua",Black,White,2026-01-02T21:37:10.304866400Z
Duo,127.0.0.1,"",Black,"Unfinished",2026-01-02T21:37:18.248094400Z
Duo,127.0.0.1,"",Black,"Unfinished",2026-01-02T21:37:18.861331800Z
Duo,10.130.124.58,"Li Hua",Black,Black,2026-01-03T16:08:13.740148100Z
Duo,10.130.124.58,"Li Hua",Black,Black,2026-01-03T16:37:05.397132700Z
Duo,127.0.0.1,"Li Hua",White,Black,2026-01-03T16:37:06.046655300Z
Duo,127.0.0.1,"",Black,"Unfinished",2026-01-03T16:37:11.472566Z
Duo,127.0.0.1,"",Black,"Unfinished",2026-01-03T16:37:14.212851Z
